time,level,level_price,POC,VAH,VAL,profile_high,profile_low,close,volume,volume_ratio,buy_volume,sell_volume,profile_pressure,body_ratio,classification
2026-05-19 21:00:00+00:00,VAH,64817.013999999996,63979.9375,64817.013999999996,62756.518,65589.7,61297.0,64642.7,6743.994,2.7888846554284243,3471.519,3272.475,BUYING,0.448344132469401,REJECTION
2026-05-19 23:00:00+00:00,VAH,64817.013999999996,63979.9375,64817.013999999996,62756.518,65589.7,61297.0,64526.0,9897.467,4.016835578936907,5382.383,4515.084000000001,BUYING,0.2395685495316538,REJECTION
2026-05-20 10:00:00+00:00,VAH,64859.941,64151.6455,64859.941,62842.371999999996,65589.7,61297.0,64970.8,13005.77,2.9406645099075814,7296.084,5709.686000000001,BUYING,0.8509615384615374,REJECTION
2026-05-20 14:00:00+00:00,VAH,64859.941,64151.6455,64859.941,62842.371999999996,65589.7,61297.0,65570.1,26658.588,4.496377260298752,15819.096,10839.492,BUYING,0.904626498616668,ACCEPTANCE
2026-05-27 22:00:00+00:00,VAL,63699.697,64697.726500000004,65798.118,63699.697,66924.1,61806.0,63720.8,13574.042,2.248230494952772,6566.575,7007.467,SELLING,0.10308972073677136,ACCEPTANCE
2026-05-28 16:00:00+00:00,VAL,63699.697,64697.726500000004,65746.937,63699.697,66924.1,61806.0,63666.0,6338.588,0.8492562539130678,2819.659,3518.9289999999996,SELLING,0.6519896831245386,REJECTION
2026-05-28 22:00:00+00:00,VAL,63730.252,64718.824,65707.39600000001,63730.252,66924.1,61854.5,63903.6,6400.006,1.1467652023743033,3934.69,2465.3160000000003,BUYING,0.36492774920401405,REJECTION
2026-05-29 00:00:00+00:00,VAL,63718.981,64717.677500000005,65669.92300000001,63718.981,66924.1,62279.0,63682.5,4706.938,0.818320502393167,2453.11,2253.828,BUYING,0.7634777189155638,REJECTION
2026-05-29 15:00:00+00:00,VAL,63830.8,64692.505000000005,65598.40000000001,63830.8,66924.1,62505.1,63786.6,10205.123,1.8814191651177257,4846.644,5358.478999999999,SELLING,0.2887760857303969,REJECTION
2026-05-29 18:00:00+00:00,VAL,63742.42,64692.505000000005,65510.020000000004,63742.42,66924.1,62505.1,63564.1,14295.245,2.0155958479662743,6579.009,7716.236000000001,SELLING,0.8429199487085607,REJECTION
2026-05-29 23:00:00+00:00,VAL,63742.42,64118.035,65554.21,63742.42,66924.1,62505.1,63673.7,6274.187,0.7887938291860295,2842.911,3431.276,SELLING,0.5465695668838765,REJECTION
2026-05-31 08:00:00+00:00,VAL,63654.04,63985.465000000004,65465.83,63654.04,66924.1,62505.1,63689.0,5255.291,0.9207662411367797,2635.812,2619.4790000000003,BUYING,0.5155393053016518,REJECTION
2026-05-31 11:00:00+00:00,VAL,63654.04,63985.465000000004,65465.83,63654.04,66924.1,62505.1,63727.4,5013.922,1.0029860403135449,2627.436,2386.4859999999994,BUYING,0.24904214559387494,ACCEPTANCE
2026-05-31 23:00:00+00:00,VAH,65479.74800000001,63967.692,65479.74800000001,63448.628000000004,66924.1,62410.5,73855.0,3770.449,0.5393046867534265,1762.599,2007.8500000000001,SELLING,0.4479467258601618,ACCEPTANCE
2026-06-03 23:00:00+00:00,VAL,63343.3,64101.2,66724.7,63343.3,74070.5,62410.5,63314.4,32017.216,2.5427537851212274,14380.535,17636.681,SELLING,0.5351765489673522,REJECTION
2026-06-04 07:00:00+00:00,VAL,63253.655,63953.5685,66816.851,63253.655,74070.5,61344.8,63595.5,12293.7,0.7056359203001802,6183.679,6110.021000000001,BUYING,0.04994072317723317,ACCEPTANCE
2026-06-04 16:00:00+00:00,VAL,62999.141,63953.5685,66689.594,62999.141,74070.5,61344.8,63511.2,14376.367,0.7071591257899617,7311.544,7064.823,BUYING,0.02307594776214585,REJECTION
2026-06-05 01:00:00+00:00,VAL,62999.141,63953.5685,66689.594,62999.141,74070.5,61344.8,62585.5,12937.021,0.9247187984161824,6093.754,6843.267000000001,SELLING,0.8806522493350251,REJECTION
2026-06-13 20:00:00+00:00,VAH,64476.58,63502.1975,64476.58,60429.145,74070.5,59080.0,64435.2,7334.893,2.371478805758875,4451.328,2883.5649999999996,BUYING,0.3333333333333245,REJECTION
2026-06-14 07:00:00+00:00,VAH,64476.58,63502.1975,64476.58,60429.145,74070.5,59080.0,64423.1,1629.08,0.4822597445691198,827.462,801.6179999999999,BUYING,0.23186237845922952,ACCEPTANCE
2026-06-14 20:00:00+00:00,VAH,64476.58,63502.1975,64476.58,60579.05,74070.5,59080.0,65284.4,27695.963,8.79863816621217,16454.995,11240.968,BUYING,0.7781484570475429,ACCEPTANCE
2026-06-17 22:00:00+00:00,VAH,64464.832,63497.245,64464.832,60594.484000000004,67493.8,59080.0,64472.9,2928.005,0.3145649297809659,1755.45,1172.555,BUYING,0.7448869752421791,REJECTION
2026-06-18 06:00:00+00:00,VAH,64351.84,63556.88,64351.84,60669.92,67448.0,59080.0,64470.3,6502.533,0.7165251519685385,3631.798,2870.7350000000006,BUYING,0.8212732305259095,REJECTION
2026-06-18 12:00:00+00:00,VAH,64394.009999999995,63535.59299999999,64394.009999999995,60796.834,67255.4,59080.0,63952.3,12076.44,1.5701284863983054,5579.325,6497.115000000001,SELLING,0.5869630071599032,REJECTION
2026-06-20 14:00:00+00:00,VAH,64312.255999999994,63535.59299999999,64312.255999999994,60796.834,67255.4,59080.0,64139.5,11736.081,3.0549583765444748,6289.752,5446.329,BUYING,0.3745765733642325,REJECTION
2026-06-21 02:00:00+00:00,VAH,64367.882999999994,63548.4525,64367.882999999994,61090.161,67255.4,59451.3,64398.8,3632.131,0.9176126489958327,2196.488,1435.643,BUYING,0.7378600823045387,REJECTION
2026-06-21 10:00:00+00:00,VAH,64425.579999999994,63562.83,64425.579999999994,61388.7,67255.4,60353.4,64149.9,4721.509,1.3903213324915547,2199.617,2521.892,SELLING,0.5029255319148898,REJECTION
2026-06-22 00:00:00+00:00,VAH,64433.095,63547.0225,64433.095,61545.155,67255.4,60691.9,64574.5,16112.153,4.104053111322606,9033.214,7078.939,BUYING,0.7290721649484506,REJECTION
2026-06-22 10:00:00+00:00,VAH,64498.729999999996,63547.0225,64498.729999999996,61610.79,67255.4,60691.9,64624.3,9530.798,2.0100878558403865,4880.75,4650.048000000001,BUYING,0.7504011670313661,ACCEPTANCE
2026-06-23 07:00:00+00:00,VAL,62267.14,63547.0225,65351.985,62267.14,67255.4,60691.9,62353.7,25191.723,3.274727434309938,11588.977,13602.746000000001,SELLING,0.47357859531773133,REJECTION
2026-06-24 12:00:00+00:00,VAL,61545.155,64203.3725,64630.0,61545.155,67255.4,60691.9,61308.2,35472.77,9.492545835922986,16154.41,19318.359999999997,SELLING,0.9262632834526134,ACCEPTANCE
2026-06-30 12:00:00+00:00,VAL,58306.762,59921.207,63657.494,58306.762,67255.4,58030.0,58711.9,26034.559,3.831875220136939,12963.253,13071.306,SELLING,0.5697143822883222,REJECTION
2026-06-30 14:00:00+00:00,VAL,58214.508,59921.207,63472.986,58214.508,67255.4,58030.0,58356.2,18133.224,2.2580646205705057,8630.611,9502.612999999998,SELLING,0.16384271099744283,REJECTION
2026-06-30 23:00:00+00:00,VAH,63296.753,59949.2405,63296.753,58208.534,66956.7,58030.0,76415.1,2833.122,0.335697779788955,1521.187,1311.935,BUYING,0.3758136348064692,ACCEPTANCE
2026-07-14 15:00:00+00:00,VAH,81841.95199999999,80731.8605,81841.95199999999,78881.708,82828.7,58160.0,81839.3,22939.351,3.7472634218003025,12575.025,10364.326,BUYING,0.6924422673198054,REJECTION
2026-07-15 12:00:00+00:00,VAL,79375.082,80731.8605,81841.95199999999,79375.082,82828.7,58160.0,78727.8,37417.044,6.72923630325647,17590.822,19826.222,SELLING,0.9479836353009936,ACCEPTANCE
2026-07-22 17:00:00+00:00,VAL,76078.663,76884.45049999999,80397.684,76078.663,82460.5,76014.2,76498.6,11242.276,3.099514027596495,5029.296,6212.98,SELLING,0.26326057797828634,ACCEPTANCE
2026-07-22 21:00:00+00:00,VAL,75825.215,76885.4925,80408.35,75825.215,82460.5,75620.0,75704.0,5125.544,1.0115201994833725,2054.093,3071.451,SELLING,0.5248999555358033,ACCEPTANCE
2026-07-27 12:00:00+00:00,VAL,75061.09400000001,76737.10500000001,78646.978,75061.09400000001,81999.0,74203.6,75054.3,20743.151,4.715102951499304,10100.017,10643.134000000002,SELLING,0.6668887408394264,REJECTION
