index,time,profile_start,profile_end,profile_low,VAL,POC,VAH,profile_high,close,VA_volume_percent
168,2026-05-07 23:00:00+00:00,2026-04-30 23:00:00+00:00,2026-05-07 22:00:00+00:00,57758.6,61017.251000000004,62681.243,64067.903000000006,64691.9,63585.9,0.701624850929847
677,2026-05-29 04:00:00+00:00,2026-05-22 04:00:00+00:00,2026-05-29 03:00:00+00:00,62660.1,64030.395000000004,64919.235,66030.285,66363.6,64045.3,0.7073269220742937
1187,2026-06-19 10:00:00+00:00,2026-06-12 10:00:00+00:00,2026-06-19 09:00:00+00:00,62232.1,63889.789,65798.64299999998,66803.30299999999,67255.4,62600.0,0.7262987817862809
1697,2026-07-10 16:00:00+00:00,2026-07-03 16:00:00+00:00,2026-07-10 15:00:00+00:00,78128.3,79585.424,80243.48,81465.584,82828.7,81441.5,0.7162170425261795
2207,2026-07-31 22:00:00+00:00,2026-07-24 22:00:00+00:00,2026-07-31 21:00:00+00:00,72436.0,72605.23300000001,73507.80900000001,75877.071,78077.1,73653.2,0.702456989487423
