open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2026-04-30 23:00:00+00:00,58605.4,58720.0,58270.0,58548.7,5536.729,2026-04-30 23:59:59.999000+00:00,323655246.8,145946,2341.332,136904796.9,0
2026-05-01 00:00:00+00:00,58548.7,58991.6,57758.6,58741.7,28902.834,2026-05-01 00:59:59.999000+00:00,1687021205.0,560918,13262.39,775057828.7,0
2026-05-01 01:00:00+00:00,58741.8,59152.0,58632.4,59063.3,12017.6,2026-05-01 01:59:59.999000+00:00,708571651.2,222776,6833.58,402998821.6,0
2026-05-01 02:00:00+00:00,59063.3,59298.4,58823.9,59169.6,9833.129,2026-05-01 02:59:59.999000+00:00,580473815.8,187134,5353.504,316062495.8,0
2026-05-01 03:00:00+00:00,59169.7,59444.5,59030.9,59311.2,5966.189,2026-05-01 03:59:59.999000+00:00,353507953.3,158185,3070.098,181944640.5,0
2026-05-01 04:00:00+00:00,59311.1,59350.0,59085.0,59122.4,4463.091,2026-05-01 04:59:59.999000+00:00,264181564.3,106304,1644.253,97335689.7,0
2026-05-01 05:00:00+00:00,59122.3,59130.0,58500.1,58726.8,13792.727,2026-05-01 05:59:59.999000+00:00,810155689.0,220754,7335.504,430769695.0,0
2026-05-01 06:00:00+00:00,58726.7,58797.6,58567.2,58744.4,4204.786,2026-05-01 06:59:59.999000+00:00,246780596.3,124416,2012.794,118118506.8,0
2026-05-01 07:00:00+00:00,58744.4,58965.0,58450.7,58950.8,6346.255,2026-05-01 07:59:59.999000+00:00,372495687.6,166407,3483.921,204574606.5,0
2026-05-01 08:00:00+00:00,58950.8,59069.7,58792.8,58921.4,5253.469,2026-05-01 08:59:59.999000+00:00,309512820.0,124437,2748.313,161926376.9,0
2026-05-01 09:00:00+00:00,58921.4,58923.3,58590.9,58631.6,3734.411,2026-05-01 09:59:59.999000+00:00,219249096.2,96733,1608.758,94448841.11,0
2026-05-01 10:00:00+00:00,58631.6,58733.5,58524.2,58592.9,3608.449,2026-05-01 10:59:59.999000+00:00,211595362.6,111524,1910.476,112037155.3,0
2026-05-01 11:00:00+00:00,58592.8,58655.6,58294.1,58495.6,8651.069,2026-05-01 11:59:59.999000+00:00,505572737.1,213955,4363.106,254994845.2,0
2026-05-01 12:00:00+00:00,58495.6,59486.7,58495.5,59463.1,22483.032,2026-05-01 12:59:59.999000+00:00,1326316174.0,490560,11876.872,700594720.3,0
